#{"t_start": 1776916360.9957356, "env_id": "None"}
r,l,t
100.0,1,3.640534
100.0,1,18.239696
57.856542,23,43.590324
100.0,1,45.839036
38.72612,23,71.12243
100.0,1,73.369667
52.120242,23,98.699569
100.0,1,100.903568
31.74893,23,126.189224
100.0,1,128.439735
49.219582,23,153.780273
100.0,1,156.331716
-1.242252,23,181.659388
100.0,1,183.91211
47.124306,23,209.199992
100.0,1,211.450343
-5.56615,23,236.84346
100.0,1,239.189432
5.672236,23,264.569801
100.0,1,266.773001
16.791952,23,292.060287
100.0,1,294.40975
21.838419,23,320.441252
100.0,1,322.689877
5.696353,23,347.990577
100.0,1,350.281152
47.565343,23,375.730023
100.0,1,377.982457
55.589324,23,403.270026
100.0,1,405.521705
39.402202,23,430.862907
100.0,1,433.110379
50.413875,23,458.494031
100.0,1,460.739702
32.678894,23,486.134935
100.0,1,488.379184
34.022098,23,513.760402
100.0,1,516.009008
40.875001,23,541.350055
100.0,1,543.599662
2.173226,23,568.940484
100.0,1,571.189995
-18.629999,23,596.521405
100.0,1,598.770169
6.149639,23,624.709372
100.0,1,626.961291
-16.956268,23,652.299902
100.0,1,654.555568
57.864051,24,680.719013
100.0,1,682.972268
42.12293,23,708.272227
100.0,1,710.571544
30.534838,23,735.921635
100.0,1,738.16959
51.534494,23,763.549619
100.0,1,765.899989
-18.629999,23,791.239385
100.0,1,793.490336
44.445892,23,818.82936
100.0,1,821.080339
69.718256,23,846.419762
100.0,1,848.670139
54.571787,23,873.911412
100.0,1,876.159096
71.128682,23,902.151001
100.0,1,904.399503
30.372972,23,929.689075
100.0,1,932.039298
66.198752,23,957.329256
100.0,1,959.535902
-18.629999,23,984.870797
100.0,1,987.119069
61.828986,23,1012.460578
100.0,1,1014.712158
-18.963801,23,1040.100185
100.0,1,1042.350039
49.099701,23,1067.699203
100.0,1,1069.989161
63.061805,23,1095.291892
100.0,1,1097.539185
40.260687,23,1122.930705
100.0,1,1125.179103
54.014111,23,1150.520135
100.0,1,1152.771021
26.542864,23,1178.163171
100.0,1,1180.409526
39.829644,23,1206.249586
100.0,1,1208.499537
8.238356,23,1233.791308
100.0,1,1236.040179
38.828575,23,1261.331116
100.0,1,1263.580593
-11.441411,23,1288.969692
100.0,1,1291.220364
44.461213,23,1316.460466
100.0,1,1318.714347
163.871511,22,1343.060555
62.395267,23,1368.349496
100.0,1,1370.64022
45.952291,23,1395.940166
100.0,1,1398.190363
27.886371,23,1423.532633
100.0,1,1425.780368
61.392105,23,1451.269256
100.0,1,1453.519853
30.589079,23,1478.859999
100.0,1,1481.11011
77.462576,23,1507.001478
100.0,1,1509.251228
63.822586,23,1534.580568
100.0,1,1536.830791
72.935397,23,1562.180053
100.0,1,1564.432031
42.194189,23,1589.719701
-100.0,1,1591.969473
70.611229,23,1617.310509
100.0,1,1619.515119
27.340618,23,1644.789464
100.0,1,1647.042068
49.061518,23,1672.390352
100.0,1,1674.596033
59.940821,23,1699.979796
100.0,1,1702.232334
43.216829,23,1727.579366
100.0,1,1729.973354
40.369064,23,1755.219565
100.0,1,1757.473622
41.022449,23,1782.812284
100.0,1,1785.060085
73.569119,23,1810.849947
100.0,1,1813.100565
56.07624,23,1838.49333
100.0,1,1840.74007
63.431542,23,1866.079076
100.0,1,1868.333459
34.966708,23,1893.719767
100.0,1,1895.970722
55.946958,23,1921.319238
100.0,1,1923.570105
31.313481,23,1948.850207
100.0,1,1951.100204
45.639292,23,1976.390996
100.0,1,1978.640074
52.237366,23,2004.030631
100.0,1,2006.281343
53.259515,23,2031.624807
100.0,1,2033.832512
51.797587,23,2059.170783
100.0,1,2061.459403
84.519783,23,2087.309536
100.0,1,2089.560161
55.301574,23,2114.899935
100.0,1,2117.15024
40.28592,23,2142.539399
100.0,1,2144.789268
35.601374,23,2170.181476
100.0,1,2172.43006
37.489377,23,2197.779634
100.0,1,2200.029877
60.34709,23,2225.419482
100.0,1,2227.769466
38.791219,23,2253.063958
100.0,1,2255.309259
65.841234,23,2280.689793
100.0,1,2282.940901
54.038754,23,2308.181013
100.0,1,2310.529661
26.765786,23,2335.919896
100.0,1,2338.127602
63.069578,23,2363.422992
100.0,1,2365.671441
64.968938,23,2391.662915
100.0,1,2393.909688
4.036949,23,2419.20982
100.0,1,2421.504882
51.330328,23,2446.800109
100.0,1,2449.054702
58.343515,23,2474.341154
100.0,1,2476.589374
53.464661,23,2501.979645
100.0,1,2504.230526
0.020072,23,2529.569397
100.0,1,2531.820756
100.0,1,2534.070423
100.0,1,2536.322861
73.849412,23,2561.620583
100.0,1,2563.869925
26.037228,23,2589.262039
100.0,1,2591.514282
59.54602,23,2616.852567
100.0,1,2619.099819
55.179947,23,2644.490253
100.0,1,2646.746253
57.02753,23,2672.590221
100.0,1,2674.941863
67.378841,23,2700.329602
100.0,1,2702.579901
49.56952,23,2727.970492
100.0,1,2730.170367
8.432303,23,2755.561681
100.0,1,2757.809757
25.105574,23,2783.152809
100.0,1,2785.401951
-7.28187,23,2810.750071
100.0,1,2813.000212
43.868164,23,2838.251576
