episode 0/200 | reward = 231.353 | steps = 51 | goal_reached
episode 1/200 | reward = -69.533 | steps = 96 | timeout
episode 2/200 | reward = -0.391 | steps = 1 | stuck
episode 3/200 | reward = 177.850 | steps = 26 | goal_reached
episode 4/200 | reward = 165.316 | steps = 38 | goal_reached
episode 5/200 | reward = -76.950 | steps = 95 | timeout
episode 6/200 | reward = -0.135 | steps = 1 | stuck
episode 7/200 | reward = 181.473 | steps = 31 | goal_reached
episode 8/200 | reward = 243.685 | steps = 40 | goal_reached
episode 9/200 | reward = 165.509 | steps = 38 | goal_reached
episode 10/200 | reward = 236.240 | steps = 45 | goal_reached
episode 11/200 | reward = 163.865 | steps = 20 | goal_reached
episode 12/200 | reward = 261.322 | steps = 43 | goal_reached
episode 13/200 | reward = 172.174 | steps = 28 | goal_reached
episode 14/200 | reward = 193.148 | steps = 45 | goal_reached
episode 15/200 | reward = 241.715 | steps = 64 | goal_reached
episode 16/200 | reward = 167.562 | steps = 27 | goal_reached
episode 17/200 | reward = 199.479 | steps = 41 | goal_reached
episode 18/200 | reward = 197.104 | steps = 41 | goal_reached
episode 19/200 | reward = 215.726 | steps = 31 | goal_reached
episode 20/200 | reward = 189.179 | steps = 35 | goal_reached
episode 21/200 | reward = 231.373 | steps = 51 | goal_reached
episode 22/200 | reward = 229.475 | steps = 55 | goal_reached
episode 23/200 | reward = 174.816 | steps = 39 | goal_reached
episode 24/200 | reward = 210.718 | steps = 37 | goal_reached
episode 25/200 | reward = 177.486 | steps = 26 | goal_reached
episode 26/200 | reward = 194.945 | steps = 35 | goal_reached
episode 27/200 | reward = 221.622 | steps = 55 | goal_reached
episode 28/200 | reward = -69.225 | steps = 96 | timeout
episode 29/200 | reward = -0.010 | steps = 1 | stuck
episode 30/200 | reward = 182.698 | steps = 39 | goal_reached
episode 31/200 | reward = 256.422 | steps = 49 | goal_reached
episode 32/200 | reward = 199.466 | steps = 41 | goal_reached
episode 33/200 | reward = 262.961 | steps = 66 | goal_reached
episode 34/200 | reward = 278.899 | steps = 66 | goal_reached
episode 35/200 | reward = 181.865 | steps = 30 | goal_reached
episode 36/200 | reward = 232.538 | steps = 51 | goal_reached
episode 37/200 | reward = 220.159 | steps = 50 | goal_reached
episode 38/200 | reward = 230.847 | steps = 52 | goal_reached
episode 39/200 | reward = 193.579 | steps = 44 | goal_reached
episode 40/200 | reward = 189.198 | steps = 35 | goal_reached
episode 41/200 | reward = 237.408 | steps = 61 | goal_reached
episode 42/200 | reward = 164.784 | steps = 39 | goal_reached
episode 43/200 | reward = 242.082 | steps = 56 | goal_reached
episode 44/200 | reward = 251.613 | steps = 49 | goal_reached
episode 45/200 | reward = 252.333 | steps = 55 | goal_reached
episode 46/200 | reward = 177.935 | steps = 25 | goal_reached
episode 47/200 | reward = 231.761 | steps = 52 | goal_reached
episode 48/200 | reward = 237.524 | steps = 61 | goal_reached
episode 49/200 | reward = 210.327 | steps = 37 | goal_reached
episode 50/200 | reward = 223.013 | steps = 54 | goal_reached
episode 51/200 | reward = 231.097 | steps = 51 | goal_reached
episode 52/200 | reward = 217.560 | steps = 59 | goal_reached
episode 53/200 | reward = 198.152 | steps = 32 | goal_reached
episode 54/200 | reward = 247.912 | steps = 51 | goal_reached
episode 55/200 | reward = 192.355 | steps = 64 | goal_reached
episode 56/200 | reward = 217.553 | steps = 59 | goal_reached
episode 57/200 | reward = 177.553 | steps = 26 | goal_reached
episode 58/200 | reward = 231.375 | steps = 42 | goal_reached
episode 59/200 | reward = 204.044 | steps = 42 | goal_reached
episode 60/200 | reward = 168.014 | steps = 26 | goal_reached
episode 61/200 | reward = 221.027 | steps = 54 | goal_reached
