episode 0/200 | reward = 232.597 | steps = 43 | goal_reached
episode 1/200 | reward = -68.813 | steps = 95 | timeout
episode 2/200 | reward = -0.342 | steps = 1 | stuck
episode 3/200 | reward = 179.045 | steps = 23 | goal_reached
episode 4/200 | reward = 165.850 | steps = 35 | goal_reached
episode 5/200 | reward = -76.950 | steps = 95 | timeout
episode 6/200 | reward = -0.135 | steps = 1 | stuck
episode 7/200 | reward = 182.696 | steps = 27 | goal_reached
episode 8/200 | reward = 244.034 | steps = 33 | goal_reached
episode 9/200 | reward = 166.161 | steps = 35 | goal_reached
episode 10/200 | reward = 237.284 | steps = 39 | goal_reached
episode 11/200 | reward = 163.958 | steps = 19 | goal_reached
episode 12/200 | reward = 261.659 | steps = 35 | goal_reached
episode 13/200 | reward = 172.219 | steps = 27 | goal_reached
episode 14/200 | reward = 194.327 | steps = 38 | goal_reached
episode 15/200 | reward = 243.537 | steps = 56 | goal_reached
episode 16/200 | reward = 168.387 | steps = 24 | goal_reached
episode 17/200 | reward = 200.683 | steps = 36 | goal_reached
episode 18/200 | reward = 198.376 | steps = 38 | goal_reached
episode 19/200 | reward = 217.143 | steps = 25 | goal_reached
episode 20/200 | reward = 189.603 | steps = 33 | goal_reached
episode 21/200 | reward = 233.092 | steps = 43 | goal_reached
episode 22/200 | reward = 232.094 | steps = 46 | goal_reached
episode 23/200 | reward = 175.756 | steps = 34 | goal_reached
episode 24/200 | reward = 211.977 | steps = 32 | goal_reached
episode 25/200 | reward = 178.579 | steps = 23 | goal_reached
episode 26/200 | reward = 194.587 | steps = 33 | goal_reached
episode 27/200 | reward = 222.326 | steps = 47 | goal_reached
episode 28/200 | reward = -68.607 | steps = 95 | timeout
episode 29/200 | reward = -0.010 | steps = 1 | stuck
episode 30/200 | reward = 184.311 | steps = 35 | goal_reached
episode 31/200 | reward = 257.437 | steps = 42 | goal_reached
episode 32/200 | reward = 200.476 | steps = 36 | goal_reached
episode 33/200 | reward = 265.433 | steps = 59 | goal_reached
episode 34/200 | reward = 277.740 | steps = 60 | goal_reached
episode 35/200 | reward = 182.144 | steps = 28 | goal_reached
episode 36/200 | reward = 235.168 | steps = 41 | goal_reached
episode 37/200 | reward = 221.089 | steps = 48 | goal_reached
episode 38/200 | reward = 232.226 | steps = 44 | goal_reached
episode 39/200 | reward = 194.160 | steps = 38 | goal_reached
episode 40/200 | reward = 189.993 | steps = 32 | goal_reached
episode 41/200 | reward = 239.210 | steps = 52 | goal_reached
episode 42/200 | reward = 166.027 | steps = 35 | goal_reached
episode 43/200 | reward = 243.733 | steps = 49 | goal_reached
episode 44/200 | reward = 252.902 | steps = 42 | goal_reached
episode 45/200 | reward = 253.906 | steps = 47 | goal_reached
episode 46/200 | reward = 178.486 | steps = 24 | goal_reached
episode 47/200 | reward = 232.187 | steps = 44 | goal_reached
episode 48/200 | reward = 239.501 | steps = 52 | goal_reached
episode 49/200 | reward = 212.825 | steps = 32 | goal_reached
episode 50/200 | reward = 223.257 | steps = 45 | goal_reached
episode 51/200 | reward = 231.971 | steps = 44 | goal_reached
episode 52/200 | reward = 218.440 | steps = 53 | goal_reached
episode 53/200 | reward = 196.196 | steps = 33 | goal_reached
episode 54/200 | reward = 249.151 | steps = 46 | goal_reached
episode 55/200 | reward = 195.916 | steps = 53 | goal_reached
episode 56/200 | reward = 218.098 | steps = 53 | goal_reached
episode 57/200 | reward = 178.820 | steps = 23 | goal_reached
episode 58/200 | reward = 232.111 | steps = 37 | goal_reached
episode 59/200 | reward = 204.876 | steps = 36 | goal_reached
episode 60/200 | reward = 168.761 | steps = 23 | goal_reached
episode 61/200 | reward = 223.222 | steps = 45 | goal_reached
episode 62/200 | reward = 218.146 | steps = 53 | goal_reached
episode 63/200 | reward = 172.190 | steps = 27 | goal_reached
episode 64/200 | reward = -68.763 | steps = 95 | timeout
episode 65/200 | reward = -0.627 | steps = 1 | stuck
episode 66/200 | reward = 218.441 | steps = 53 | goal_reached
episode 67/200 | reward = 168.448 | steps = 24 | goal_reached
episode 68/200 | reward = 243.966 | steps = 33 | goal_reached
episode 69/200 | reward = 257.295 | steps = 42 | goal_reached
episode 70/200 | reward = 175.588 | steps = 34 | goal_reached
episode 71/200 | reward = 178.964 | steps = 23 | goal_reached
episode 72/200 | reward = 218.082 | steps = 53 | goal_reached
episode 73/200 | reward = 249.509 | steps = 46 | goal_reached
episode 74/200 | reward = 172.821 | steps = 26 | goal_reached
episode 75/200 | reward = 276.877 | steps = 61 | goal_reached
episode 76/200 | reward = 234.443 | steps = 41 | goal_reached
episode 77/200 | reward = 194.738 | steps = 53 | goal_reached
episode 78/200 | reward = -76.950 | steps = 95 | timeout
episode 79/200 | reward = -0.660 | steps = 1 | stuck
episode 80/200 | reward = 310.873 | steps = 57 | goal_reached
episode 81/200 | reward = 235.310 | steps = 41 | goal_reached
episode 82/200 | reward = 168.184 | steps = 24 | goal_reached
episode 83/200 | reward = 231.729 | steps = 44 | goal_reached
episode 84/200 | reward = 223.704 | steps = 44 | goal_reached
episode 85/200 | reward = 244.103 | steps = 33 | goal_reached
episode 86/200 | reward = 243.960 | steps = 33 | goal_reached
episode 87/200 | reward = 178.496 | steps = 24 | goal_reached
episode 88/200 | reward = 237.510 | steps = 39 | goal_reached
episode 89/200 | reward = 219.560 | steps = 40 | goal_reached
episode 90/200 | reward = 195.267 | steps = 53 | goal_reached
episode 91/200 | reward = 263.342 | steps = 48 | goal_reached
episode 92/200 | reward = 232.456 | steps = 43 | goal_reached
episode 93/200 | reward = 256.987 | steps = 42 | goal_reached
episode 94/200 | reward = 308.601 | steps = 69 | goal_reached
episode 95/200 | reward = 216.928 | steps = 42 | goal_reached
episode 96/200 | reward = 203.344 | steps = 39 | goal_reached
episode 97/200 | reward = 309.700 | steps = 68 | goal_reached
episode 98/200 | reward = 242.647 | steps = 58 | goal_reached
episode 99/200 | reward = 175.814 | steps = 34 | goal_reached
episode 100/200 | reward = 221.456 | steps = 47 | goal_reached
episode 101/200 | reward = 183.955 | steps = 36 | goal_reached
episode 102/200 | reward = 235.058 | steps = 42 | goal_reached
episode 103/200 | reward = 243.920 | steps = 49 | goal_reached
episode 104/200 | reward = 199.674 | steps = 38 | goal_reached
episode 105/200 | reward = 257.374 | steps = 42 | goal_reached
episode 106/200 | reward = 219.201 | steps = 41 | goal_reached
episode 107/200 | reward = 205.357 | steps = 30 | goal_reached
episode 108/200 | reward = 309.454 | steps = 68 | goal_reached
episode 109/200 | reward = 234.456 | steps = 43 | goal_reached
episode 110/200 | reward = 182.302 | steps = 28 | goal_reached
episode 111/200 | reward = 213.720 | steps = 32 | goal_reached
episode 112/200 | reward = 310.632 | steps = 61 | goal_reached
episode 113/200 | reward = -76.950 | steps = 95 | timeout
episode 114/200 | reward = -0.735 | steps = 1 | stuck
episode 115/200 | reward = 223.766 | steps = 45 | goal_reached
episode 116/200 | reward = 231.713 | steps = 44 | goal_reached
episode 117/200 | reward = 217.600 | steps = 42 | goal_reached
episode 118/200 | reward = -68.736 | steps = 95 | timeout
episode 119/200 | reward = 0.071 | steps = 1 | stuck
episode 120/200 | reward = 217.362 | steps = 42 | goal_reached
episode 121/200 | reward = 236.374 | steps = 40 | goal_reached
episode 122/200 | reward = 215.180 | steps = 43 | goal_reached
episode 123/200 | reward = 265.278 | steps = 59 | goal_reached
episode 124/200 | reward = 254.247 | steps = 46 | goal_reached
episode 125/200 | reward = 221.088 | steps = 48 | goal_reached
episode 126/200 | reward = 277.699 | steps = 54 | goal_reached
episode 127/200 | reward = 232.230 | steps = 37 | goal_reached
episode 128/200 | reward = 168.428 | steps = 24 | goal_reached
episode 129/200 | reward = 212.235 | steps = 41 | goal_reached
episode 130/200 | reward = 196.907 | steps = 32 | goal_reached
episode 131/200 | reward = 232.183 | steps = 37 | goal_reached
episode 132/200 | reward = 205.330 | steps = 29 | goal_reached
episode 133/200 | reward = 216.254 | steps = 25 | goal_reached
episode 134/200 | reward = 194.395 | steps = 37 | goal_reached
episode 135/200 | reward = 190.284 | steps = 32 | goal_reached
episode 136/200 | reward = 243.102 | steps = 57 | goal_reached
episode 137/200 | reward = 231.955 | steps = 44 | goal_reached
episode 138/200 | reward = 168.196 | steps = 24 | goal_reached
episode 139/200 | reward = 178.665 | steps = 23 | goal_reached
episode 140/200 | reward = 277.962 | steps = 60 | goal_reached
episode 141/200 | reward = 163.842 | steps = 19 | goal_reached
episode 142/200 | reward = 221.064 | steps = 48 | goal_reached
episode 143/200 | reward = 237.200 | steps = 39 | goal_reached
episode 144/200 | reward = 221.146 | steps = 48 | goal_reached
episode 145/200 | reward = 198.681 | steps = 38 | goal_reached
episode 146/200 | reward = 229.458 | steps = 44 | goal_reached
episode 147/200 | reward = 198.343 | steps = 41 | goal_reached
episode 148/200 | reward = 252.462 | steps = 43 | goal_reached
episode 149/200 | reward = 194.316 | steps = 36 | goal_reached
episode 150/200 | reward = 249.522 | steps = 46 | goal_reached
episode 151/200 | reward = 243.003 | steps = 57 | goal_reached
episode 152/200 | reward = 205.177 | steps = 30 | goal_reached
episode 153/200 | reward = 232.738 | steps = 37 | goal_reached
episode 154/200 | reward = 232.476 | steps = 43 | goal_reached
episode 155/200 | reward = 253.252 | steps = 42 | goal_reached
episode 156/200 | reward = 265.943 | steps = 58 | goal_reached
episode 157/200 | reward = 198.416 | steps = 38 | goal_reached
episode 158/200 | reward = 178.635 | steps = 23 | goal_reached
episode 159/200 | reward = 231.620 | steps = 47 | goal_reached
episode 160/200 | reward = 194.723 | steps = 33 | goal_reached
episode 161/200 | reward = 279.499 | steps = 60 | goal_reached
episode 162/200 | reward = 178.803 | steps = 23 | goal_reached
episode 163/200 | reward = 219.790 | steps = 40 | goal_reached
episode 164/200 | reward = 243.982 | steps = 49 | goal_reached
episode 165/200 | reward = -35.144 | steps = 95 | timeout
episode 166/200 | reward = 0.083 | steps = 1 | stuck
episode 167/200 | reward = 261.594 | steps = 36 | goal_reached
episode 168/200 | reward = 310.002 | steps = 61 | goal_reached
episode 169/200 | reward = 244.030 | steps = 33 | goal_reached
episode 170/200 | reward = 277.149 | steps = 60 | goal_reached
episode 171/200 | reward = 163.819 | steps = 19 | goal_reached
episode 172/200 | reward = 261.434 | steps = 36 | goal_reached
episode 173/200 | reward = 253.838 | steps = 47 | goal_reached
episode 174/200 | reward = 237.382 | steps = 39 | goal_reached
episode 175/200 | reward = 249.615 | steps = 45 | goal_reached
episode 176/200 | reward = 182.217 | steps = 28 | goal_reached
episode 177/200 | reward = 277.722 | steps = 54 | goal_reached
episode 178/200 | reward = 195.507 | steps = 32 | goal_reached
episode 179/200 | reward = 189.786 | steps = 33 | goal_reached
episode 180/200 | reward = 163.996 | steps = 19 | goal_reached
episode 181/200 | reward = 205.281 | steps = 29 | goal_reached
episode 182/200 | reward = 184.404 | steps = 35 | goal_reached
episode 183/200 | reward = 232.597 | steps = 45 | goal_reached
episode 184/200 | reward = 224.520 | steps = 44 | goal_reached
episode 185/200 | reward = 182.367 | steps = 27 | goal_reached
episode 186/200 | reward = 172.255 | steps = 27 | goal_reached
episode 187/200 | reward = 252.014 | steps = 49 | goal_reached
episode 188/200 | reward = 237.175 | steps = 40 | goal_reached
episode 189/200 | reward = 257.208 | steps = 45 | goal_reached
episode 190/200 | reward = 243.407 | steps = 50 | goal_reached
episode 191/200 | reward = -73.775 | steps = 95 | timeout
episode 192/200 | reward = -0.610 | steps = 1 | stuck
episode 193/200 | reward = 216.771 | steps = 25 | goal_reached
episode 194/200 | reward = 166.108 | steps = 35 | goal_reached
episode 195/200 | reward = 196.528 | steps = 52 | goal_reached
episode 196/200 | reward = 178.633 | steps = 23 | goal_reached
episode 197/200 | reward = 221.510 | steps = 28 | goal_reached
episode 198/200 | reward = 223.757 | steps = 44 | goal_reached
episode 199/200 | reward = 210.611 | steps = 31 | goal_reached
