#{"t_start": 1776960607.876566, "env_id": "None"}
r,l,t
0.121751,1,3.51379
-0.234648,1,18.194136
162.236816,27,47.72668
260.53989,62,114.043612
213.915662,72,190.854584
183.253436,45,239.264567
165.323705,37,279.203711
104.283627,94,379.733727
189.926811,64,448.193645
195.438223,58,510.304085
209.269454,49,563.015016
227.197661,70,638.284612
243.096546,61,703.594082
269.987987,80,788.724499
172.823361,57,850.486623
214.115646,68,923.045087
229.177526,55,982.013882
214.561053,63,1049.333797
228.24194,68,1122.457066
167.065832,44,1169.723886
260.850768,60,1233.98389
219.887949,65,1303.555676
203.847691,39,1345.824709
234.30596,55,1405.253975
235.146909,74,1484.173353
196.178042,54,1542.044425
173.252447,51,1596.713928
195.560736,53,1653.583811
217.007659,65,1723.603446
229.143462,55,1782.674136
219.031002,52,1838.453613
180.126586,45,1886.984244
259.13349,76,1968.605297
195.884156,49,2021.154097
207.643239,47,2071.683263
172.81972,50,2125.415937
200.142538,48,2177.144778
187.476209,39,2219.844272
186.452845,37,2259.884218
214.46398,57,2320.924495
-68.125663,95,2421.964449
-0.47479,1,2424.215383
180.439326,35,2462.254438
-21.963303,94,2562.844408
-0.599043,1,2565.093852
253.123126,66,2635.725003
229.41362,52,2691.604412
176.660804,30,2724.544525
251.200096,49,2777.833938
-100.0,1,2780.084437
0.348864,1,2782.3343
236.18578,48,2833.883863
240.106046,61,2899.244892
207.695348,52,2955.084315
-67.741405,94,3055.615724
-0.434996,1,3057.864399
251.148544,52,3113.74451
217.778006,52,3169.524266
260.358979,55,3228.464684
273.867371,64,3296.894276
273.698252,70,3372.174082
167.54342,30,3404.914509
232.048959,60,3469.187932
216.565269,33,3505.063975
261.060085,62,3571.295734
174.109488,43,3618.473902
212.458432,44,3665.894379
261.403525,42,3711.176596
196.51457,34,3748.053849
-76.949999,95,3848.964089
-0.135003,1,3851.216018
192.473436,50,3905.497638
192.177722,65,3975.065672
247.641197,50,4028.734352
259.577286,59,4092.013605
57.331592,94,4192.446576
-0.025696,1,4194.693983
175.962975,29,4226.323895
233.020472,54,4284.174088
176.658655,28,4314.804371
227.309008,60,4378.965421
254.280037,50,4433.274063
197.101064,40,4476.463722
197.780509,47,4527.074029
206.908907,45,4575.553838
275.292886,76,4656.594446
220.23758,34,4693.474006
194.679737,34,4730.83435
239.22932,55,4789.863961
243.753631,45,4838.264304
229.745571,58,4900.124782
202.071808,46,4949.633759
241.165018,61,5015.485293
217.541147,56,5075.485135
181.330007,31,5109.253952
194.293608,36,5148.13809
171.332691,30,5180.877773
175.234345,41,5225.194284
-76.139999,94,5325.614096
-0.009998,1,5327.864271
204.580716,34,5364.664201
242.158293,64,5433.064161
204.415455,34,5469.934186
192.293226,64,5538.984483
307.356474,78,5622.054072
177.155719,27,5651.574082
214.683333,50,5705.264626
163.749528,42,5750.543673
251.476497,50,5804.934245
214.78271,37,5845.023653
208.749248,47,5895.553956
177.2828,27,5925.074399
177.451364,28,5955.645377
182.652214,38,5996.674025
-68.033403,94,6097.324695
-0.060007,1,6099.575154
243.29084,43,6145.915565
185.989253,39,6187.977477
187.809739,37,6228.00456
273.150223,67,6299.505405
233.054502,62,6366.394197
243.659643,43,6412.72522
195.96761,48,6464.14384
249.266019,60,6528.32442
218.646461,45,6576.713877
228.733312,57,6638.34435
216.072196,57,6699.384098
195.160312,52,6755.164667
250.328017,61,6820.393717
204.266729,39,6862.525058
250.551531,55,6922.153841
191.830684,51,6977.025715
260.695415,62,7043.173888
276.845308,71,7118.854444
174.254348,41,7163.034475
231.238536,52,7219.357627
232.305769,51,7274.024029
259.673009,52,7329.703815
272.627129,73,7407.454413
227.766556,55,7466.934183
196.569085,43,7513.293861
-76.949999,95,7614.193972
-0.710005,1,7616.445563
214.467116,35,7654.364686
241.180477,60,7718.533418
-31.275076,94,7818.883706
-0.242921,1,7821.134058
163.701362,41,7865.214938
188.113806,39,7907.323765
260.609485,49,7959.954218
233.319455,49,8013.174354
217.470261,42,8058.483588
230.768286,54,8116.364981
252.261078,58,8178.335151
243.916454,37,8218.418507
237.492672,62,8285.334562
177.021809,27,8314.855465
231.193901,48,8366.424559
230.008279,57,8427.543748
187.68357,38,8468.65397
56.758635,94,8568.943397
-0.406779,1,8571.195183
196.321951,43,8617.51372
232.023269,42,8662.844786
232.835492,58,8724.914861
249.977641,55,8783.885837
243.861274,40,8827.094489
176.81658,28,8858.303714
175.545327,30,8890.875402
229.240093,59,8954.044584
195.030732,40,8997.224299
254.621132,55,9056.193455
197.787661,43,9102.603552
165.092615,37,9143.42421
218.710512,38,9184.533181
233.777574,48,9236.103978
223.624982,51,9290.864191
228.31211,57,9351.933924
-76.139999,94,9452.514611
-0.734997,1,9454.763987
261.437585,44,9502.174046
261.759097,39,9544.343648
217.337044,60,9608.563984
275.413672,71,9684.844855
-76.949999,95,9785.764072
-0.734997,1,9788.013653
215.120995,31,9821.773679
261.840161,62,9887.99799
194.184125,43,9934.355798
218.719167,45,9983.173759
249.924709,52,10038.985415
179.330689,34,10075.90386
245.484497,60,10140.026356
163.490734,21,10163.233719
238.702425,56,10223.75385
191.990849,48,10275.408705
164.053237,20,10297.616379
250.64974,52,10353.294037
252.575501,57,10414.41383
220.435912,32,10449.076294
230.02303,54,10507.433455
193.046373,44,10554.754394
251.91055,48,10606.218221
166.777209,29,10637.863942
170.646379,29,10669.523785
197.793174,33,10705.345186
197.556829,47,10755.854947
182.331752,40,10799.623382
-100.0,1,10801.8737
-76.698758,95,10902.643464
-34.199993,95,11003.434702
-69.09,94,11103.854178
-12.825004,95,11204.934
-43.699997,95,11305.91414
-5.640008,94,11406.333779
-53.199994,95,11507.155645
-69.089997,94,11607.536613
-60.325,95,11708.354768
-67.449997,95,11809.123648
-0.939998,94,11909.563853
-0.949998,95,12010.433611
-0.949999,95,12111.35428
-17.389998,94,12211.584383
-0.950003,95,12312.554047
-0.939998,94,12413.134455
-0.950004,95,12514.063718
-17.574998,95,12614.883538
-62.039996,94,12715.113817
-34.199997,95,12815.834669
-53.199994,95,12916.80428
-57.340002,94,13017.234506
-57.949999,95,13118.053197
-27.074999,95,13218.924075
-100.0,1,13221.175188
-52.640005,94,13321.40554
-22.324995,95,13422.313955
-0.939998,94,13522.744754
-0.949999,95,13623.563662
-12.825,95,13724.484271
-0.939998,94,13825.09464
-57.950001,95,13925.613698
-67.449997,95,14026.483574
-62.039996,94,14126.804266
-34.199993,95,14227.573535
-66.740001,94,14327.893658
-69.825,95,14428.623344
-27.074995,95,14529.603982
-0.940004,94,14629.923898
-22.324995,95,14730.84483
-67.449997,95,14831.666776
-45.59,94,14931.983684
-0.950004,95,15032.764979
-12.69,94,15133.073595
-76.949999,95,15233.944564
-22.324995,95,15334.824043
-54.990002,94,15435.143939
-60.325001,95,15536.12659
-22.324995,95,15637.043363
-0.939998,94,15737.373984
-22.324995,95,15838.293999
-0.949998,95,15939.163484
-66.740001,94,16039.543682
-67.450001,95,16140.264924
-64.389994,94,16240.533986
-27.074999,95,16341.453882
-5.700008,95,16442.333951
-0.939999,94,16542.704306
-69.825,95,16643.583899
-55.575002,95,16744.367395
-0.940001,94,16844.78444
-53.200001,95,16945.61445
-33.839993,94,17045.884344
-0.950001,95,17146.764456
-5.700008,95,17247.644225
-33.839995,94,17347.914821
-53.200001,95,17448.734476
-48.45,95,17549.113334
-52.640001,94,17649.336546
-60.325001,95,17750.15394
-100.0,1,17752.404535
-12.825003,95,17853.784619
-69.825,95,17954.70342
-53.200001,95,18055.535389
-12.69,94,18155.80383
-62.700002,95,18256.784394
-34.199993,95,18357.464179
-22.089995,94,18457.884269
-53.200005,95,18558.763997
-62.700002,95,18659.594019
-69.089997,94,18759.873551
-43.699997,95,18860.746525
-43.239995,94,18961.024006
-34.199997,95,19062.003301
-69.824997,95,19162.783961
-33.839993,94,19263.063488
-62.700002,95,19363.933737
-60.325001,95,19464.614381
-52.639994,94,19564.994525
-0.949999,95,19665.873777
-69.089997,94,19766.294017
-27.074995,95,19867.074724
-69.825,95,19967.953904
-66.740001,94,20068.534968
-0.949998,95,20169.513776
-100.0,1,20171.76612
-53.200001,95,20272.634176
-0.939998,94,20373.114012
